2025-04-24 10:33:33.609 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 37.9ms, Min Diff: 0.0ms
2025-04-24 10:33:38.730 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.9ms, Max Diff: 10.7ms, Min Diff: 0.0ms
2025-04-24 10:33:43.834 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 5.7ms, Min Diff: 0.0ms
2025-04-24 10:33:48.939 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.4ms, Max Diff: 6.2ms, Min Diff: 0.1ms
2025-04-24 10:33:54.049 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.7ms, Max Diff: 6.2ms, Min Diff: 0.1ms
2025-04-24 10:33:59.128 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 6.2ms, Min Diff: 0.1ms
2025-04-24 10:34:04.227 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 6.2ms, Min Diff: 0.1ms
2025-04-24 10:34:09.354 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 7.8ms, Min Diff: 0.1ms
2025-04-24 10:34:14.535 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.7ms, Max Diff: 7.8ms, Min Diff: 0.1ms
2025-04-24 10:34:19.680 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.8ms, Max Diff: 8.9ms, Min Diff: 0.1ms
2025-04-24 10:34:24.746 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.8ms, Max Diff: 8.9ms, Min Diff: 0.1ms
2025-04-24 10:34:29.852 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.8ms, Max Diff: 8.9ms, Min Diff: 0.1ms
2025-04-24 10:34:34.971 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.8ms, Max Diff: 8.9ms, Min Diff: 0.1ms
2025-04-24 10:34:40.046 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.7ms, Max Diff: 7.6ms, Min Diff: 0.1ms
2025-04-24 10:34:45.143 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.7ms, Max Diff: 7.6ms, Min Diff: 0.0ms
2025-04-24 10:34:50.273 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.8ms, Max Diff: 7.6ms, Min Diff: 0.0ms
2025-04-24 10:34:55.300 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 7.6ms, Min Diff: 0.0ms
2025-04-24 10:35:00.323 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.7ms, Max Diff: 6.5ms, Min Diff: 0.0ms
2025-04-24 10:35:05.350 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 6.5ms, Min Diff: 0.0ms
2025-04-24 10:35:10.532 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 8.9ms, Min Diff: 0.0ms
2025-04-24 10:35:15.595 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.6ms, Max Diff: 8.9ms, Min Diff: 0.0ms
