2025-04-24 11:03:50.620 - INFO - sensor [/livox/imu] - IMU stats: rate=231.80Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.622 - INFO - sensor [/livox/imu] - IMU stats: rate=235.66Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.624 - INFO - sensor [/livox/imu] - IMU stats: rate=240.01Hz, interval=4.8ms, dropped=9437
2025-04-24 11:03:50.626 - INFO - sensor [/livox/imu] - IMU stats: rate=244.59Hz, interval=4.7ms, dropped=9437
2025-04-24 11:03:50.628 - INFO - sensor [/livox/imu] - IMU stats: rate=248.48Hz, interval=4.7ms, dropped=9437
2025-04-24 11:03:50.632 - INFO - sensor [/livox/imu] - IMU stats: rate=251.46Hz, interval=4.6ms, dropped=9437
2025-04-24 11:03:50.638 - INFO - sensor [/livox/imu] - IMU stats: rate=252.78Hz, interval=4.7ms, dropped=9437
2025-04-24 11:03:50.642 - INFO - sensor [/livox/imu] - IMU stats: rate=253.41Hz, interval=4.7ms, dropped=9437
2025-04-24 11:03:50.648 - INFO - sensor [/livox/imu] - IMU stats: rate=253.22Hz, interval=4.7ms, dropped=9437
2025-04-24 11:03:50.652 - INFO - sensor [/livox/imu] - IMU stats: rate=250.00Hz, interval=4.8ms, dropped=9437
2025-04-24 11:03:50.658 - INFO - sensor [/livox/imu] - IMU stats: rate=245.62Hz, interval=4.8ms, dropped=9437
2025-04-24 11:03:50.663 - INFO - sensor [/livox/imu] - IMU stats: rate=240.99Hz, interval=4.8ms, dropped=9437
2025-04-24 11:03:50.667 - INFO - sensor [/livox/imu] - IMU stats: rate=236.54Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.672 - INFO - sensor [/livox/imu] - IMU stats: rate=232.34Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.678 - INFO - sensor [/livox/imu] - IMU stats: rate=227.93Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.682 - INFO - sensor [/livox/imu] - IMU stats: rate=223.67Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.688 - INFO - sensor [/livox/imu] - IMU stats: rate=219.29Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.692 - INFO - sensor [/livox/imu] - IMU stats: rate=216.79Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.698 - INFO - sensor [/livox/imu] - IMU stats: rate=215.75Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.702 - INFO - sensor [/livox/imu] - IMU stats: rate=215.33Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.708 - INFO - sensor [/livox/imu] - IMU stats: rate=215.32Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.712 - INFO - sensor [/livox/imu] - IMU stats: rate=215.37Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.721 - INFO - sensor [/livox/imu] - IMU stats: rate=215.08Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.723 - INFO - sensor [/livox/imu] - IMU stats: rate=214.89Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.728 - INFO - sensor [/livox/imu] - IMU stats: rate=214.88Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.732 - INFO - sensor [/livox/imu] - IMU stats: rate=214.79Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.738 - INFO - sensor [/livox/imu] - IMU stats: rate=215.22Hz, interval=5.0ms, dropped=9437
